ID,listing_date,type,category,Bedrooms,bathrooms,balcony,sqmt_living,floors,condition,furnished,year_built,area_type,floor_apartment,neighbourhood,county,view,frontage,rent_price_usd,final_rent_price_usd
1,2024-07-27,adu,rent,3,1,,120,1,old,no,,unknown,,,mansour,,,3000,3000
2,2024-07-27,house,rent,3,1,,100,,good,,,unknown,,,mansour,corner,,2000,2000
3,2024-07-27,house,rent,5,3,,600,2,good,no,,unknown,,,mansour,highway,,3000,3000
4,2024-07-26,apartment,rent,1,1,,90,1,good,fully,,unknown,,,mansour,,,1200,1200
5,2024-07-28,house,rent,3,3,,100,2,new,half,2023,unknown,,,mansour,neighbourhood,7,4000,4000
6,2024-07-26,apartment,rent,2,1,,100,1,good,no,,unknown,,,mansour,,,,800
10,2024-08-02,apartment,rent,3,1,,155,1,new,,,unknown,,,mansour,,,900,900
13,2024-01-15,apartment,rent,2,1,,100,1,good,fully,,unknown,3,,mansour,neighbourhood,,1600,1600
14,2023-12-21,apartment,rent,2,1,,100,1,good,fully,,unknown,2,,mansour,,11.5,1160,1160
20,2024-04-26,apartment,rent,2,1,,130,1,good,no,,unknown,1,daragh,mansour,neighbourhood,,700,700
22,2024-05-05,apartment,rent,2,2,,,,,,,unknown,3,,mansour,,,500,500
23,2023-09-11,house,rent,,,,375,,good,,,unknown,,rafidain bank/ 607,mansour,neighbourhood,15,5000,5000
26,2023-11-21,house,rent,12,3,,,,new,,,unknown,,609 tabo street,mansour,,13.25,5000,5000
36,2024-07-31,adu,rent,3,2,,120,1,good,no,2023,unknown,,dawoodi,mansour,,,1240,1240
37,2024-07-29,house,rent,6,3,,210,2,good,no,,unknown,,behind babylon mall,mansour,,,,2610
38,2024-07-29,house,rent,3,2,,130,,good,half,2017,unknown,,,mansour,neighbourhood,,1300,1300
39,2024-07-26,adu,rent,2,2,,60,2,good,half,,unknown,,beiji,mansour,neighbourhood,,,1000
40,2024-07-21,house,rent,6,6,,400,,good,no,2019,unknown,,dawoodi,mansour,,10,4500,4500
41,2024-07-17,house,rent,3,3,,200,2,good,no,2019,unknown,,,mansour,,,,1160
42,2024-07-16,house,rent,4,3,,100,3,new,no,2023,unknown,,alarabi,mansour,,,,1450
43,2024-07-12,adu,rent,2,2,,75,2,new,half,2019,unknown,,alarabi,mansour,neighbourhood,,,1000
44,2024-07-06,house,rent,4,3,,150,3,new,half,2021,unknown,,almutanabi,mansour,neighbourhood,,,1546.666667
45,2024-07-06,house,rent,2,2,,130,1,good,no,2019,unknown,,daragh,mansour,neighbourhood,,,800
46,2024-06-28,house,rent,4,3,,150,2,new,no,2023,unknown,,,mansour,,,1300,1300
47,2024-06-28,house,rent,4,3,,150,2,new,,2023,unknown,,,mansour,,,1700,1700
48,2024-06-28,house,rent,5,4,,400,2,new,,2023,unknown,,behind hajji husien,mansour,,,2500,2500
49,2024-06-28,house,rent,5,4,,400,2,good,,,unknown,,daragh,mansour,,,2000,2000
50,2024-06-27,house,rent,5,7,,440,3,good,fully,,unknown,,dawoodi,mansour,neighbourhood,11,10000,10000
51,2024-06-27,house,rent,4,4,,200,2,good,no,2020,unknown,,14 ramadan street,mansour,,,1600,1600
52,2024-06-26,house,rent,3,2,,68,3,new,no,2023,unknown,,jamiaa,mansour,neighbourhood,7.5,1000,1000
53,2024-06-25,house,rent,2,1,,100,2,old,fully,2004,unknown,,dawoodi,mansour,neighbourhood,,,733.3333333
54,2024-06-14,house,rent,2,2,,150,2,new,no,2023,unknown,,dawoodi,mansour,,,,1200
55,2024-06-12,house,rent,4,4,,400,2,new,no,2023,unknown,,dawoodi,mansour,,,,2416.666667
56,2024-06-08,house,rent,4,4,,150,3,good,no,,unknown,,almutanabi,mansour,,,,1740
57,2024-06-08,house,rent,5,3,,400,2,good,no,2021,unknown,,almutanabi,mansour,,,,2126.666667
58,2024-06-04,adu,rent,3,3,,100,3,new,no,2021,unknown,,14 ramadan,mansour,neighbourhood,,,1333.333333
59,2024-06-03,house,rent,4,3,,150,,new,no,2023,unknown,,almutanabi,mansour,neighbourhood,,,1643.333333
60,2024-06-03,house,rent,4,3,,270,2,good,half,2021,unknown,,,mansour,,,,1666.666667
61,2024-08-01,apartment,rent,2,1,,100,1,good,fully,2023,unknown,,dawoodi,mansour,,,,1000
62,2024-07-31,apartment,rent,3,2,2,187,1,new,half,2023,urban,7,mansour city,mansour,,,,1000
63,2024-07-31,apartment,rent,1,1,,80,1,good,fully,2021,suburb,2,dawoodi,mansour,,,,733.3333333
64,2024-07-31,apartment,rent,1,1,,90,1,good,fully,2023,suburb,1,,mansour,,,,870
65,2024-07-16,apartment,rent,2,1,,110,1,new,no,2021,suburb,1,,mansour,,,,0.6766666667
66,2024-07-29,apartment,rent,3,2,2,173,1,new,half,2023,urban,2,mansour city,mansour,,,,966.6666667
67,2024-07-28,apartment,rent,2,1,1,80,1,old,no,2021,suburb,1,,mansour,,,,500
